
                                  SUMMARY OF ENERGY TRANSFER AT THE SURFACE


                               SOLAR RADIATION                         LONG-WAVE RADIATION
               ------------------------------------------    -----------------------------------------
 DAY HR  YR    CANOPY     SNOW   RESIDUE    SOIL   TOTAL     CANOPY    SNOW   RESIDUE    SOIL    TOTAL  SENSIBLE  LATENT
                KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2   KJ/M2
 339 21   86       0.       0.       0.       0.       0.       0.       0.       0.      39.      39.      31.     -49.
 339 22   86       0.       0.       0.       0.       0.       0.       0.       0.      41.      41.      42.     -32.
 339 23   86       0.       0.       0.       0.       0.       0.       0.       0.      24.      24.      36.    -111.
 339 24   86       0.       0.       0.       0.       0.       0.       0.       0.      28.      28.      37.     -94.
 340  1   86       0.       0.       0.       0.       0.       0.       0.       0.      11.      11.      42.    -126.
 340  2   86       0.       0.       0.       0.       0.       0.       0.       0.      15.      15.      41.     -77.
 340  3   86       0.       0.       0.       0.       0.       0.       0.       0.      17.      17.      36.     -67.
 340  4   86       0.       0.       0.       0.       0.       0.       0.       0.      19.      19.      58.     -89.
 340  5   86       0.       0.       0.       0.       0.       0.       0.       0.      21.      21.      47.    -127.
 340  6   86       0.       0.       0.       0.       0.       0.       0.       0.      24.      24.      35.     -92.
 340  7   86       0.       0.       0.       0.       0.       0.       0.       0.      65.      65.      62.     -34.
 340  8   86       0.       0.       0.       9.       9.       0.       0.       0.     126.     126.     128.     -69.
 340  9   86       0.       0.       0.      73.      73.       0.       0.       0.     141.     141.     132.     -41.
 340 10   86       0.       0.       0.     207.     207.       0.       0.       0.     153.     153.      81.      37.
 340 11   86       0.       0.       0.     354.     354.       0.       0.       0.     162.     162.      62.     -52.
 340 12   86       0.       0.       0.     364.     364.       0.       0.       0.     170.     170.     106.      20.
 340 13   86       0.       0.       0.     348.     348.       0.       0.       0.     154.     154.     101.       3.
 340 14   86       0.       0.       0.     237.     237.       0.       0.       0.     144.     144.      81.     -22.
 340 15   86       0.       0.       0.     128.     128.       0.       0.       0.     162.     162.      39.     -41.
 340 16   86       0.       0.       0.      45.      45.       0.       0.       0.     160.     160.      39.     -14.
 340 17   86       0.       0.       0.       2.       2.       0.       0.       0.      73.      73.      23.     -18.
 340 18   86       0.       0.       0.       0.       0.       0.       0.       0.      77.      77.      24.     -55.
 340 19   86       0.       0.       0.       0.       0.       0.       0.       0.      39.      39.      17.     -29.
 340 20   86       0.       0.       0.       0.       0.       0.       0.       0.      23.      23.      14.     -41.
 340 21   86       0.       0.       0.       0.       0.       0.       0.       0.       7.       7.      11.     -26.
 340 22   86       0.       0.       0.       0.       0.       0.       0.       0.      11.      11.      12.     -38.
 340 23   86       0.       0.       0.       0.       0.       0.       0.       0.      -5.      -5.       9.     -39.
 340 24   86       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.      10.     -57.
 341  1   86       0.       0.       0.       0.       0.       0.       0.       0.     -15.     -15.       7.     -52.
 341  2   86       0.       0.       0.       0.       0.       0.       0.       0.     -11.     -11.       8.     -34.
