AVERAGE PREDICTED MOISTURE CONTENT FOR EACH NODE (M3/M3)
  DY HR  YR   0.00  0.50  1.00  1.50  2.00  2.50  3.00  3.50  4.00  4.50  5.00
 339 18   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 339 19   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 339 20   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 339 21   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 339 22   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 339 23   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 339 24   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  1   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  2   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  3   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  4   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  5   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  6   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  7   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  8   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340  9   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 10   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 11   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 12   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 13   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 14   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 15   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 16   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 17   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 18   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 19   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 20   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 21   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
